"","instnm","conference","r_squared"
"1","Arizona State","Pac 12",0.269443621347145
"2","Arizona State","Pac 12",0.0817120800654222
"3","Arizona State","Pac 12",0.00469576065134416
"4","Arizona State","Pac 12",0.115000060686072
"5","Arizona State","Pac 12",0.184415179806319
"6","Arizona State","Pac 12",0.0538588523723512
"7","Arizona State","Pac 12",0.311603589200314
"8","Arizona State","Pac 12",0.042984586829203
"9","Arizona State","Pac 12",0.128732527567879
"10","Arizona State","Pac 12",0.214362951521427
"11","Arizona State","Pac 12",0.325403465236852
"12","Arizona State","Pac 12",2.38583271774039e-07
"13","Arizona State","Pac 12",0.727794410860016
"14","Arizona State","Pac 12",0.00366402828374969
"15","Arizona State","Pac 12",0.11491945740562
"16","Arizona State","Pac 12",0.00106415214048345
"17","Arizona State","Pac 12",0.000454919331700507
"18","Arizona State","Pac 12",0.537589743365417
"19","Arizona State","Pac 12",0.000258188314971538
"20","Arizona State","Pac 12",0.0290138954646201
"21","Arizona State","Pac 12",0.0147188137580067
"22","Arizona State","Pac 12",0.045254048323471
"23","Arizona State","Pac 12",0.192573725174331
"24","Arizona State","Pac 12",0.932391098122944
"25","Arizona State","Pac 12",0.243524513246769
"26","Arizona State","Pac 12",0.422980526681403
"27","Arizona State","Pac 12",0.0337872913797011
"28","Arizona State","Pac 12",0.106259960244783
"29","Arizona State","Pac 12",0.0928824115825225
"30","Arizona State","Pac 12",0.0239585900280602
"31","Arizona State","Pac 12",0.49107027513354
"32","Arizona State","Pac 12",0.0285116744475411
"33","Arizona State","Pac 12",0.0077087788691457
"34","Arizona State","Pac 12",0.0133453555045073
"35","Arizona State","Pac 12",0.000592436988357543
"36","Arizona State","Pac 12",0.0216102749629816
"37","Arizona State","Pac 12",0.0385018154929476
"38","Arizona State","Pac 12",0.00155972573374587
"39","Arizona State","Pac 12",0.0900099677610658
"40","Arizona State","Pac 12",0.000725605486047511
"41","Arizona State","Pac 12",0.929852213165884
"42","Arizona State","Pac 12",0.337378806511455
"43","Arizona State","Pac 12",0.272996264967976
"44","Arizona State","Pac 12",0.000409887493933951
"45","Arizona State","Pac 12",0.124848997132496
"46","Arizona State","Pac 12",0.0229620602229318
"47","Arizona State","Pac 12",0.0108626010395689
"48","Arizona State","Pac 12",0.0167541044352334
"49","Arizona State","Pac 12",0.0667128350422257
"50","Arizona State","Pac 12",0.0252495006987768
"51","Arizona State","Pac 12",0.273324721316038
"52","Arizona State","Pac 12",0.00201040749570856
"53","Arizona State","Pac 12",0.115801728478644
"54","Arizona State","Pac 12",0.00705648007418897
"55","Arizona State","Pac 12",0.0107744419849306
"56","Arizona State","Pac 12",0.00209705943631194
"57","Arizona State","Pac 12",0.238819279245325
"58","Arizona State","Pac 12",0.0551371799935422
"59","Arizona State","Pac 12",0.268117561224733
"60","Arizona State","Pac 12",0.475994264860494
"61","Arizona State","Pac 12",0.178348033315705
"62","Arizona State","Pac 12",0.035531775542305
"63","Arizona State","Pac 12",0.162907805114856
"64","Arizona State","Pac 12",0.000426684699660374
"65","Arizona State","Pac 12",0.0199849765946084
"66","Arizona State","Pac 12",0.0130828312381126
"67","Arizona State","Pac 12",1.06642900342046e-08
"68","Arizona State","Pac 12",0.172073751314888
"69","Arizona State","Pac 12",0.0622231159163613
"70","Arizona State","Pac 12",0.371089570496496
"71","Arizona State","Pac 12",0.00108199873198499
"72","Arizona State","Pac 12",0.130009375267556
"73","Arizona State","Pac 12",0.0819136441848496
"74","Arizona State","Pac 12",0.13247219160561
"75","Arizona State","Pac 12",0.500589793226789
"76","Arizona State","Pac 12",0.279380725236379
"77","Arizona State","Pac 12",0.381384957953728
"78","Arizona State","Pac 12",0.0520860068551342
"79","Arizona State","Pac 12",0.00591520039361497
"80","Arizona State","Pac 12",0.0617249562305011
"81","Arizona State","Pac 12",0.00676155730083376
"82","Arizona State","Pac 12",0.177820888158928
"83","Arizona State","Pac 12",0.0625381540437026
"84","Arizona State","Pac 12",0.0923312759429655
"85","Arizona State","Pac 12",0.182317062567606
"86","Arizona State","Pac 12",0.212265477795124
"87","Arizona State","Pac 12",0.00642125390385712
"88","Arizona State","Pac 12",0.183622146354229
"89","Arizona State","Pac 12",0.00183761885730861
"90","Arizona State","Pac 12",0.103356537930012
"91","Arizona State","Pac 12",0.10630927048399
"92","Arizona State","Pac 12",0.0616830245670035
"93","Arizona State","Pac 12",0.0267308379202152
"94","Arizona State","Pac 12",0.0130372882417511
"95","Arizona State","Pac 12",0.170786853389538
"96","Arizona State","Pac 12",0.311102272977742
"97","Arizona State","Pac 12",0.0846604478881669
"98","Arizona State","Pac 12",0.138803185583898
"99","Arizona State","Pac 12",0.0672210950239989
"100","Arizona State","Pac 12",0.11842505543996
"101","Arizona State","Pac 12",0.364404210801323
"102","Arizona State","Pac 12",0.00712826967598834
"103","Arizona State","Pac 12",0.00196669536719498
"104","Arizona State","Pac 12",0.0735723959639141
"105","Arizona State","Pac 12",0.031081598619032
"106","Arizona State","Pac 12",0.000883268151799001
"107","Arizona State","Pac 12",0.441850512976987
"108","Arizona State","Pac 12",0.00592454409387617
"109","Arizona State","Pac 12",0.107460823962235
"110","Arizona State","Pac 12",0.0307327716235064
"111","Arizona State","Pac 12",0.016536681365017
"112","Arizona State","Pac 12",0.00720058801747081
"113","Arizona State","Pac 12",0.452465790623427
"114","Arizona State","Pac 12",0.225424806876331
"115","Arizona State","Pac 12",0.0567666409151977
"116","Arizona State","Pac 12",0.00136333544565224
"117","Arizona State","Pac 12",0.0252454515331529
"118","Arizona State","Pac 12",0.00110860780307791
"119","Arizona State","Pac 12",0.116747182749446
"120","Arizona State","Pac 12",0.310420495702747
"121","Arizona State","Pac 12",0.0697860604478921
"122","Arizona State","Pac 12",0.261820149404626
"123","Arizona State","Pac 12",0.0536022496660853
"124","Arizona State","Pac 12",0.00241786719271531
"125","Arizona State","Pac 12",0.00224728505696845
"126","Arizona State","Pac 12",0.00390712131275879
"127","Arizona State","Pac 12",0.0101276833145873
"128","Arizona State","Pac 12",0.19169734936977
"129","Arizona State","Pac 12",0.209390369956374
"130","Arizona State","Pac 12",0.0411241364913041
"131","Arizona State","Pac 12",0.838782787578251
"132","Arizona State","Pac 12",0.407981980561266
"133","Arizona State","Pac 12",0.125242235076148
"134","Arizona State","Pac 12",0.0027085808464036
"135","Arizona State","Pac 12",0.00884066427942052
"136","Arizona State","Pac 12",0.0319893676961207
"137","Arizona State","Pac 12",0.0765682660064696
"138","Arizona State","Pac 12",0.0740828588115384
"139","Arizona State","Pac 12",0.0951185242184876
"140","Arizona State","Pac 12",0.0433378044079475
"141","Arizona State","Pac 12",0.11957146141751
"142","Arizona State","Pac 12",0.0376322436900103
"143","Arizona State","Pac 12",0.00230009982605091
"144","Arizona State","Pac 12",0.262509607828278
"145","Arizona State","Pac 12",0.0998665428556045
"146","Arizona State","Pac 12",0.546811338628852
"147","Arizona State","Pac 12",0.125533464802967
"148","Arizona State","Pac 12",0.018582033172615
"149","Arizona State","Pac 12",0.120658932595156
"150","Arizona State","Pac 12",0.000269998751087452
"151","Arizona State","Pac 12",0.000108540064177882
"152","Arizona State","Pac 12",0.410329827904134
"153","Arizona State","Pac 12",0.132126280775345
"154","Arizona State","Pac 12",0.349956329675904
"155","Arizona State","Pac 12",0.00381349669778891
"156","Arizona State","Pac 12",0.0134422581185948
"157","Arizona State","Pac 12",0.163355400378419
"158","Arizona State","Pac 12",0.00247445173323474
"159","Arizona State","Pac 12",0.0123588669735318
