"","instnm","pub_status","conference","year","win_pct_diff","year2","applcn_pct_chng"
"1","Arizona State","Public","Pac 12",2002,20.8,2003,9
"2","Auburn","Public","SEC",2002,5.6,2003,-6.2
"3","Baylor","Private","Big 12",2002,-2.3,2003,20.2
"4","Clemson","Public","ACC",2002,-0.7,2003,0.9
"5","Duke","Private","ACC",2002,16.7,2003,16.7
"6","Florida State","Public","ACC",2002,0.6,2003,22.3
"7","Georgia Tech","Public","ACC",2002,-4.5,2003,-4.2
"8","Indiana","Public","Big 10",2002,-20.5,2003,4.3
"9","Iowa State","Public","Big 12",2002,-13.6,2003,-12.9
"10","Kansas State","Public","Big 12",2002,30.1,2003,-3.2
"11","LSU","Public","SEC",2002,-13.5,2003,-1.5
"12","Michigan State","Public","Big 10",2002,-21.2,2003,-0.9
"13","Mississippi State","Public","SEC",2002,-2.3,2003,-2.6
"14","North Carolina State","Public","ACC",2002,14.9,2003,3.1
"15","Northwestern","Private","Big 10",2002,-11.4,2003,2.1
"16","Ohio State","Public","Big 10",2002,36.4,2003,2.9
"17","Oklahoma State","Public","Big 12",2002,25.2,2003,29.8
"18","Oregon State","Public","Pac 12",2002,16.1,2003,-12.6
"19","Penn State","Public","Big 10",2002,23.8,2003,-1.8
"20","Purdue","Public","Big 10",2002,-0.7,2003,0.5
"21","Stanford","Private","Pac 12",2002,-63.6,2003,0.2
"22","Texas Tech","Public","Big 12",2002,0.6,2003,5
"23","Alabama","Public","SEC",2002,22.4,2003,13.3
"24","Tennessee","Public","SEC",2002,-21.8,2003,1.8
"25","Texas","Public","Big 12",2002,1.3,2003,10.6
"26","Arizona","Public","Pac 12",2002,-12.1,2003,6.8
"27","Arkansas","Public","SEC",2002,0.6,2003,9.4
"28","California","Public","Pac 12",2002,49.2,2003,1
"29","UCLA","Public","Pac 12",2002,-2.1,2003,6.6
"30","Florida","Public","SEC",2002,-20.3,2003,14.2
"31","Georgia","Public","SEC",2002,20.1,2003,-7.6
"32","Illinois","Public","Big 10",2002,-49.2,2003,7.8
"33","Iowa","Public","Big 10",2002,30.1,2003,2
"34","Kansas","Public","Big 12",2002,-10.6,2003,6.3
"35","Kentucky","Public","SEC",2002,40.2,2003,5.1
"36","Maryland","Public","ACC",2002,-12.3,2003,8.3
"37","Michigan","Public","Big 10",2002,4.2,2003,3.3
"38","Minnesota","Public","Big 10",2002,25.2,2003,16.7
"39","Mississippi","Public","SEC",2002,-9.8,2003,0
"40","North Carolina","Public","ACC",2002,-33.3,2003,7.5
"41","Oklahoma","Public","Big 12",2002,2.4,2003,12.3
"42","Oregon","Public","Pac 12",2002,-37.1,2003,13.8
"43","South Carolina","Public","SEC",2002,-31.1,2003,7.5
"44","Southern California","Private","Pac 12",2002,30.1,2003,3.2
"45","Virginia","Public","ACC",2002,22.6,2003,2.1
"46","Washington","Public","Pac 12",2002,-18.9,2003,0.9
"47","Wisconsin","Public","Big 10",2002,15.5,2003,2.5
"48","Vanderbilt","Private","SEC",2002,-1.5,2003,0
"49","Wake Forest","Private","ACC",2002,-0.7,2003,-4.1
"50","Washington State","Public","Pac 12",2002,-4.9,2003,3.1
"51","Arizona State","Public","Pac 12",2003,-15.5,2004,5.1
"52","Auburn","Public","SEC",2003,-7.7,2004,3.1
"53","Baylor","Private","Big 12",2003,0,2004,22.2
"54","Clemson","Public","ACC",2003,15.4,2004,-7
"55","Duke","Private","ACC",2003,16.7,2004,8.8
"56","Florida State","Public","ACC",2003,12.6,2004,-1.4
"57","Georgia Tech","Public","ACC",2003,0,2004,-0.1
"58","Indiana","Public","Big 10",2003,-8.3,2004,-4.5
"59","Iowa State","Public","Big 12",2003,-33.3,2004,1.5
"60","Kansas State","Public","Big 12",2003,-11.3,2004,26.6
"61","LSU","Public","SEC",2003,31.3,2004,-2.2
"62","Michigan State","Public","Big 10",2003,28.2,2004,-12.6
"63","Mississippi State","Public","SEC",2003,-8.3,2004,12.9
"64","North Carolina State","Public","ACC",2003,-17,2004,5.6
"65","Northwestern","Private","Big 10",2003,21.2,2004,-1
"66","Ohio State","Public","Big 10",2003,-15.4,2004,-15.7
"67","Oklahoma State","Public","Big 12",2003,7.7,2004,-1.1
"68","Oregon State","Public","Pac 12",2003,0,2004,27.5
"69","Penn State","Public","Big 10",2003,-44.2,2004,13.3
"70","Purdue","Public","Big 10",2003,15.4,2004,4.5
"71","Stanford","Private","Pac 12",2003,18.2,2004,2.9
"72","Texas Tech","Public","Big 12",2003,-2.7,2004,-3.1
"73","Alabama","Public","SEC",2003,-46.2,2004,9.7
"74","Tennessee","Public","SEC",2003,15.4,2004,13.9
"75","Texas","Public","Big 12",2003,-7.7,2004,-6.2
"76","Arizona","Public","Pac 12",2003,-16.7,2004,12
"77","Arkansas","Public","SEC",2003,4.9,2004,6
"78","California","Public","Pac 12",2003,-1.2,2004,1.5
"79","UCLA","Public","Pac 12",2003,-15.4,2004,3.6
"80","Florida","Public","SEC",2003,0,2004,-2.2
"81","Georgia","Public","SEC",2003,-14.3,2004,0
"82","Illinois","Public","Big 10",2003,-33.3,2004,3.7
"83","Iowa","Public","Big 10",2003,-7.7,2004,4
"84","Kansas","Public","Big 12",2003,29.5,2004,1.3
"85","Kentucky","Public","SEC",2003,-25,2004,6.1
"86","Maryland","Public","ACC",2003,-1.6,2004,-10.9
"87","Michigan","Public","Big 10",2003,0,2004,-17.9
"88","Minnesota","Public","Big 10",2003,15.4,2004,7.9
"89","Mississippi","Public","SEC",2003,23.1,2004,-14.6
"90","North Carolina","Public","ACC",2003,-8.3,2004,2.6
"91","Oklahoma","Public","Big 12",2003,0,2004,0.3
"92","Oregon","Public","Pac 12",2003,7.7,2004,3.1
"93","South Carolina","Public","SEC",2003,0,2004,-0.1
"94","Southern California","Private","Pac 12",2003,7.7,2004,1.8
"95","Virginia","Public","ACC",2003,-2.7,2004,1.3
"96","Washington","Public","Pac 12",2003,-3.8,2004,0
"97","Wisconsin","Public","Big 10",2003,-3.3,2004,-2
"98","Vanderbilt","Private","SEC",2003,0,2004,13.6
"99","Wake Forest","Private","ACC",2003,-12.2,2004,9.3
"100","Washington State","Public","Pac 12",2003,0,2004,2.7
"101","Arizona State","Public","Pac 12",2004,33.3,2005,-4.2
"102","Auburn","Public","SEC",2004,38.5,2005,11.1
"103","Baylor","Private","Big 12",2004,2.3,2005,41.8
"104","Clemson","Public","ACC",2004,-14.7,2005,0
"105","Duke","Private","ACC",2004,-15.2,2005,1.9
"106","Florida State","Public","ACC",2004,-1.9,2005,1.5
"107","Georgia Tech","Public","ACC",2004,4.5,2005,7
"108","Indiana","Public","Big 10",2004,10.6,2005,3.8
"109","Iowa State","Public","Big 12",2004,41.7,2005,-0.8
"110","Kansas State","Public","Big 12",2004,-37,2005,0
"111","LSU","Public","SEC",2004,-17.9,2005,9.2
"112","Michigan State","Public","Big 10",2004,-19.9,2005,0
"113","Mississippi State","Public","SEC",2004,10.6,2005,10.2
"114","North Carolina State","Public","ACC",2004,-16.1,2005,8.7
"115","Northwestern","Private","Big 10",2004,3.8,2005,10.6
"116","Ohio State","Public","Big 10",2004,-17.9,2005,4
"117","Oklahoma State","Public","Big 12",2004,-10.9,2005,-1.5
"118","Oregon State","Public","Pac 12",2004,-3.2,2005,-6.7
"119","Penn State","Public","Big 10",2004,11.4,2005,-3.7
"120","Purdue","Public","Big 10",2004,-10.9,2005,0.2
"121","Stanford","Private","Pac 12",2004,0,2005,5.3
"122","Texas Tech","Public","Big 12",2004,5.1,2005,-5.6
"123","Alabama","Public","SEC",2004,19.2,2005,15.9
"124","Tennessee","Public","SEC",2004,0,2005,0
"125","Texas","Public","Big 12",2004,14.7,2005,4
"126","Arizona","Public","Pac 12",2004,10.6,2005,-24.5
"127","Arkansas","Public","SEC",2004,-23.8,2005,3.8
"128","California","Public","Pac 12",2004,26.2,2005,-0.9
"129","UCLA","Public","Pac 12",2004,3.8,2005,-3.8
"130","Florida","Public","SEC",2004,-3.2,2005,-5.8
"131","Georgia","Public","SEC",2004,4.8,2005,12.3
"132","Illinois","Public","Big 10",2004,18.9,2005,-1.3
"133","Iowa","Public","Big 10",2004,6.4,2005,-4.6
"134","Kansas","Public","Big 12",2004,-9.8,2005,7.6
"135","Kentucky","Public","SEC",2004,-15.2,2005,12.6
"136","Maryland","Public","ACC",2004,-31.5,2005,0.6
"137","Michigan","Public","Big 10",2004,-1.9,2005,12.2
"138","Minnesota","Public","Big 10",2004,-18.6,2005,11
"139","Mississippi","Public","SEC",2004,-40.6,2005,2.7
"140","North Carolina","Public","ACC",2004,33.3,2005,7.2
"141","Oklahoma","Public","Big 12",2004,6.6,2005,-9.6
"142","Oregon","Public","Pac 12",2004,-16.1,2005,-5.6
"143","South Carolina","Public","SEC",2004,12.9,2005,3.1
"144","Southern California","Private","Pac 12",2004,7.7,2005,6.2
"145","Virginia","Public","ACC",2004,5.1,2005,5.6
"146","Washington","Public","Pac 12",2004,-40.9,2005,1.2
"147","Wisconsin","Public","Big 10",2004,21.2,2005,-0.4
"148","Vanderbilt","Private","SEC",2004,1.5,2005,4.4
"149","Wake Forest","Private","ACC",2004,-5.3,2005,0
"150","Washington State","Public","Pac 12",2004,-31.5,2005,-2.9
"151","Arizona State","Public","Pac 12",2005,-16.7,2006,4
"152","Auburn","Public","SEC",2005,-25,2006,11.7
"153","Baylor","Private","Big 12",2005,18.2,2006,38.2
"154","Clemson","Public","ACC",2005,12.1,2006,20.4
